n,allocates.time
0,1
500,19
1000,42
1500,54
2000,43
2500,59
3000,79
3500,89
4000,86
4500,91
5000,100
5500,117
6000,114
6500,111
7000,134
7500,140
8000,136
8500,160
9000,168
9500,163
