n,allocates.time
0,1
500,54
1000,41
1500,36
2000,43
2500,51
3000,61
3500,66
4000,77
4500,93
5000,101
5500,112
6000,124
6500,129
7000,138
7500,141
8000,151
8500,156
9000,164
9500,176
