n,heapsort.time
150000,98
180000,141
210000,170
240000,174
270000,236
300000,260
330000,291
360000,335
390000,396
420000,446
450000,493
480000,557
510000,608
540000,641
570000,709
600000,693
630000,827
660000,903
690000,980
720000,994
750000,1064
780000,1103
810000,1195
840000,1229
870000,1277
900000,1319
930000,1398
960000,1516
990000,1493
1020000,1630
1050000,1739
1080000,1706
1110000,1814
1140000,1768
1170000,1862
1200000,1905
1230000,1949
1260000,2119
1290000,2217
1320000,2246
1350000,2233
1380000,2303
1410000,2600
1440000,2727
1470000,2835
